naics,census,naics_description,sgf_code,sgf_description
331,othuna,Primary metals,G03,Other and unallocable
332,othuna,Fabricated metal products,G03,Other and unallocable
333,othuna,Machinery,G03,Other and unallocable
334,othuna,Computer and electronic products,G03,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",G03,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",G03,Other and unallocable
3364OT,othuna,Other transportation equipment,G03,Other and unallocable
337,othuna,Furniture and related products,G03,Other and unallocable
339,othuna,Miscellaneous manufacturing,G03,Other and unallocable
42,othuna,Wholesale trade,G03,Other and unallocable
441,othuna,Motor vehicle and parts dealers,G03,Other and unallocable
452,othuna,General merchandise stores,G03,Other and unallocable
4A0,othuna,Other retail,G03,Other and unallocable
81,othuna,"Other services, except government",G03,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",G03,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,G03,Other and unallocable
324,othuna,Petroleum refineries,E52,Other and unallocable
325,othuna,Chemical products,E52,Other and unallocable
326,othuna,Plastics and rubber products,E52,Other and unallocable
327,othuna,Nonmetallic mineral products,E52,Other and unallocable
331,othuna,Primary metals,E52,Other and unallocable
332,othuna,Fabricated metal products,E52,Other and unallocable
333,othuna,Machinery,E52,Other and unallocable
334,othuna,Computer and electronic products,E52,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",E52,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",E52,Other and unallocable
3364OT,othuna,Other transportation equipment,E52,Other and unallocable
337,othuna,Furniture and related products,E52,Other and unallocable
339,othuna,Miscellaneous manufacturing,E52,Other and unallocable
42,othuna,Wholesale trade,E52,Other and unallocable
441,othuna,Motor vehicle and parts dealers,E52,Other and unallocable
452,othuna,General merchandise stores,E52,Other and unallocable
4A0,othuna,Other retail,E52,Other and unallocable
81,othuna,"Other services, except government",E52,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",E52,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,E52,Other and unallocable
22,utlexp,"Electric power generation, transmission, and distribution",E92,Utility expenditure
GFGD,utlexp,Federal general government (defense),E92,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),E92,Utility expenditure
GFE,utlexp,Federal government enterprises,E92,Utility expenditure
GSLG,utlexp,State and local general government,E92,Utility expenditure
GSLE,utlexp,State and local government enterprises,E92,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",F94,Utility expenditure
GFGD,utlexp,Federal general government (defense),F94,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),F94,Utility expenditure
GFE,utlexp,Federal government enterprises,F94,Utility expenditure
GSLG,utlexp,State and local general government,F94,Utility expenditure
GSLE,utlexp,State and local government enterprises,F94,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",F91,Utility expenditure
GFGD,utlexp,Federal general government (defense),F91,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),F91,Utility expenditure
GFE,utlexp,Federal government enterprises,F91,Utility expenditure
GSLG,utlexp,State and local general government,F91,Utility expenditure
GSLE,utlexp,State and local government enterprises,F91,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",I94,Utility expenditure
GFGD,utlexp,Federal general government (defense),I94,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),I94,Utility expenditure
GFE,utlexp,Federal government enterprises,I94,Utility expenditure
GSLG,utlexp,State and local general government,I94,Utility expenditure
GSLE,utlexp,State and local government enterprises,I94,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",F92,Utility expenditure
GFGD,utlexp,Federal general government (defense),F92,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),F92,Utility expenditure
GFE,utlexp,Federal government enterprises,F92,Utility expenditure
GSLG,utlexp,State and local general government,F92,Utility expenditure
GSLE,utlexp,State and local government enterprises,F92,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",I92,Utility expenditure
GFGD,utlexp,Federal general government (defense),I92,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),I92,Utility expenditure
GFE,utlexp,Federal government enterprises,I92,Utility expenditure
GSLG,utlexp,State and local general government,I92,Utility expenditure
GSLE,utlexp,State and local government enterprises,I92,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",G93,Utility expenditure
GFGD,utlexp,Federal general government (defense),G93,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),G93,Utility expenditure
GFE,utlexp,Federal government enterprises,G93,Utility expenditure
GSLG,utlexp,State and local general government,G93,Utility expenditure
GSLE,utlexp,State and local government enterprises,G93,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",E94,Utility expenditure
GFGD,utlexp,Federal general government (defense),E94,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),E94,Utility expenditure
GFE,utlexp,Federal government enterprises,E94,Utility expenditure
GSLG,utlexp,State and local general government,E94,Utility expenditure
GSLE,utlexp,State and local government enterprises,E94,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",G94,Utility expenditure
GFGD,utlexp,Federal general government (defense),G94,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),G94,Utility expenditure
GFE,utlexp,Federal government enterprises,G94,Utility expenditure
GSLG,utlexp,State and local general government,G94,Utility expenditure
GSLE,utlexp,State and local government enterprises,G94,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",I93,Utility expenditure
GFGD,utlexp,Federal general government (defense),I93,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),I93,Utility expenditure
GFE,utlexp,Federal government enterprises,I93,Utility expenditure
GSLG,utlexp,State and local general government,I93,Utility expenditure
GSLE,utlexp,State and local government enterprises,I93,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",G91,Utility expenditure
GFGD,utlexp,Federal general government (defense),G91,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),G91,Utility expenditure
GFE,utlexp,Federal government enterprises,G91,Utility expenditure
GSLG,utlexp,State and local general government,G91,Utility expenditure
GSLE,utlexp,State and local government enterprises,G91,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",F93,Utility expenditure
GFGD,utlexp,Federal general government (defense),F93,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),F93,Utility expenditure
GFE,utlexp,Federal government enterprises,F93,Utility expenditure
GSLG,utlexp,State and local general government,F93,Utility expenditure
GSLE,utlexp,State and local government enterprises,F93,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",M91,Utility expenditure
GFGD,utlexp,Federal general government (defense),M91,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),M91,Utility expenditure
GFE,utlexp,Federal government enterprises,M91,Utility expenditure
GSLG,utlexp,State and local general government,M91,Utility expenditure
GSLE,utlexp,State and local government enterprises,M91,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",M94,Utility expenditure
GFGD,utlexp,Federal general government (defense),M94,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),M94,Utility expenditure
GFE,utlexp,Federal government enterprises,M94,Utility expenditure
GSLG,utlexp,State and local general government,M94,Utility expenditure
GSLE,utlexp,State and local government enterprises,M94,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",E93,Utility expenditure
GFGD,utlexp,Federal general government (defense),E93,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),E93,Utility expenditure
GFE,utlexp,Federal government enterprises,E93,Utility expenditure
GSLG,utlexp,State and local general government,E93,Utility expenditure
GSLE,utlexp,State and local government enterprises,E93,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",G92,Utility expenditure
GFGD,utlexp,Federal general government (defense),G92,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),G92,Utility expenditure
GFE,utlexp,Federal government enterprises,G92,Utility expenditure
GSLG,utlexp,State and local general government,G92,Utility expenditure
GSLE,utlexp,State and local government enterprises,G92,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",I91,Utility expenditure
GFGD,utlexp,Federal general government (defense),I91,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),I91,Utility expenditure
GFE,utlexp,Federal government enterprises,I91,Utility expenditure
GSLG,utlexp,State and local general government,I91,Utility expenditure
GSLE,utlexp,State and local government enterprises,I91,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",M92,Utility expenditure
GFGD,utlexp,Federal general government (defense),M92,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),M92,Utility expenditure
GFE,utlexp,Federal government enterprises,M92,Utility expenditure
GSLG,utlexp,State and local general government,M92,Utility expenditure
GSLE,utlexp,State and local government enterprises,M92,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",E91,Utility expenditure
GFGD,utlexp,Federal general government (defense),E91,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),E91,Utility expenditure
GFE,utlexp,Federal government enterprises,E91,Utility expenditure
GSLG,utlexp,State and local general government,E91,Utility expenditure
GSLE,utlexp,State and local government enterprises,E91,Utility expenditure
22,utlexp,"Electric power generation, transmission, and distribution",M93,Utility expenditure
GFGD,utlexp,Federal general government (defense),M93,Utility expenditure
GFGN,utlexp,Federal general government (nondefense),M93,Utility expenditure
GFE,utlexp,Federal government enterprises,M93,Utility expenditure
GSLG,utlexp,State and local general government,M93,Utility expenditure
GSLE,utlexp,State and local government enterprises,M93,Utility expenditure
311FT,liqexp,Food and beverage and tobacco products,G90,Liquor stores expenditure
445,liqexp,Food and beverage stores,G90,Liquor stores expenditure
722,liqexp,Food services and drinking places,G90,Liquor stores expenditure
311FT,liqexp,Food and beverage and tobacco products,E90,Liquor stores expenditure
445,liqexp,Food and beverage stores,E90,Liquor stores expenditure
722,liqexp,Food services and drinking places,E90,Liquor stores expenditure
311FT,liqexp,Food and beverage and tobacco products,F90,Liquor stores expenditure
445,liqexp,Food and beverage stores,F90,Liquor stores expenditure
722,liqexp,Food services and drinking places,F90,Liquor stores expenditure
